parameter1,parameter2,parameter3,parameter4,parameter5,time
81,75,1081,2557,2010, 14:18:11 
68,76,1402,2331,2562, 14:18:13 
77,79,1673,2813,2123, 14:18:15 
64,82,1104,1559,2968, 14:18:17 
70,80,1481,2548,2329, 14:18:19 
96,77,1803,2200,2914, 14:18:21 
79,71,1362,2885,2978, 14:18:23 
63,88,1072,2398,2514, 14:20:44 
93,89,1566,1750,2318, 14:20:46 
67,58,1309,2190,2756, 14:20:48 
95,56,1517,2037,2579, 14:20:50 
82,60,1732,2979,2770, 14:20:52 
92,58,1987,1783,2235, 14:20:54 
86,52,1973,1832,2561, 14:20:56 
100,54,1577,2313,2294, 14:20:58 
75,74,1260,1577,2103, 14:28:00 
81,54,1061,2327,2267, 14:28:02 
91,66,1110,1920,2216, 14:28:04 
74,77,1673,2469,2383, 14:28:06 
83,53,1345,1987,2165, 14:28:08 
92,59,1887,2174,2051, 14:31:04 
98,86,1488,1604,2866, 14:31:06 
70,70,1432,2008,2830, 14:31:08 
67,83,1061,1740,2126, 14:31:10 
58,59,1425,2287,2811, 14:31:12 
56,78,1013,2625,2826, 14:31:14 
80,90,1171,1786,2390, 14:31:16 
56,88,1667,2261,2672, 14:31:18 
61,73,1893,1555,2859, 14:31:20 
53,57,1200,2332,2995, 14:31:22 
57,77,1311,2627,2199, 14:31:24 
88,87,1537,2054,2869, 14:31:26 
53,65,1854,2597,2397, 14:31:28 
80,77,1134,2038,2565, 14:31:30 
93,56,1639,2721,2683, 14:31:32 
94,78,1880,2969,2076, 14:31:34 
72,67,1921,1845,2951, 14:31:36 
66,90,1019,2109,2329, 14:31:38 
61,90,1710,1945,2488, 14:31:40 
82,72,1656,2535,2288, 14:31:42 
75,80,1664,2049,2291, 14:31:44 
87,86,1458,2084,2587, 14:31:46 
85,81,1428,2314,2231, 14:31:48 
60,66,1343,1854,2412, 14:31:50 
89,59,1279,1555,2002, 14:31:52 
59,78,1666,1971,2481, 14:31:54 
53,70,1961,1534,2185, 14:31:56 
88,73,1069,1703,2992, 14:31:58 
66,62,1584,2466,2763, 14:32:00 
70,86,1027,2353,2238, 14:32:02 
75,50,1195,2630,2092, 14:32:04 
79,63,1082,2993,2647, 14:32:06 
97,65,1712,2532,2034, 14:32:08 
55,59,1372,2931,2480, 14:32:10 
67,50,1444,2182,2837, 14:32:12 
82,52,1888,2029,2997, 14:32:14 
68,68,1090,2080,2241, 14:32:16 
87,70,1552,2951,2087, 14:32:18 
54,83,1692,1879,2588, 14:32:20 
81,60,1840,2167,2005, 14:32:22 
78,78,1679,2131,2208, 14:32:24 
55,55,1069,2414,2726, 14:32:26 
85,63,1151,1585,2927, 14:32:28 
64,81,1452,2592,2062, 14:32:30 
51,71,1076,2407,2663, 14:32:32 
97,76,1867,2844,2219, 14:32:34 
87,64,1151,2603,2065, 14:32:36 
61,90,1997,2457,2519, 14:32:38 
64,72,1307,1780,2519, 14:32:40 
59,70,1583,2900,2049, 14:32:42 
83,76,1674,1543,2245, 14:32:44 
50,89,1633,2613,2262, 14:32:46 
55,82,1856,2067,2636, 14:32:48 
92,67,1845,1699,2908, 14:32:50 
51,71,1685,1642,2916, 14:32:52 
78,78,1519,2947,2299, 14:32:54 
88,82,1682,1793,2250, 14:32:56 
63,65,1285,1890,2756, 14:32:58 
92,76,1780,2228,2493, 14:33:00 
76,62,1965,2216,2954, 14:33:02 
76,82,1345,2804,2773, 14:33:04 
64,50,1983,2074,2150, 14:33:06 
72,60,1140,2100,2056, 14:33:08 
95,90,1089,1778,2702, 14:33:10 
70,75,1353,1859,2328, 14:33:12 
59,56,1330,2173,2405, 14:33:14 
73,65,1277,2001,2665, 14:33:16 
97,55,1897,2009,2497, 14:33:18 
89,90,1936,2203,2089, 14:33:20 
82,61,1437,1783,2667, 14:33:22 
88,82,1008,1769,2644, 14:33:24 
77,81,1605,1521,2191, 14:33:26 
67,66,1619,2751,2783, 14:33:28 
79,59,1264,1768,2810, 14:33:30 
98,89,1222,2931,2557, 14:33:32 
81,89,1166,2982,2635, 14:33:34 
70,82,1860,2847,2298, 14:33:36 
62,56,1830,2952,2101, 14:33:38 
88,62,1533,2624,2714, 14:33:40 
63,87,1129,2950,2724, 14:33:42 
67,86,1763,2137,2748, 14:33:44 
97,77,1563,2912,2294, 14:33:46 
61,74,1236,2579,2675, 14:33:48 
62,61,1990,2860,2107, 14:33:50 
78,89,1001,2828,2499, 14:33:52 
100,54,1987,2238,2333, 14:33:54 
80,57,1545,1859,2747, 14:33:56 
88,61,1207,1656,2846, 14:33:58 
61,73,1695,2649,2262, 14:34:00 
89,61,1046,2479,2047, 14:34:02 
98,68,1267,2382,2485, 14:34:04 
93,54,1130,2628,2838, 14:34:06 
83,88,1066,2183,2815, 14:34:08 
59,57,1554,2659,2557, 14:34:10 
99,81,1557,2017,2080, 14:34:12 
100,75,1753,2149,2835, 14:34:14 
84,58,1354,2508,2955, 14:34:16 
58,70,1902,1871,2745, 14:34:18 
73,77,1852,1503,2890, 14:34:20 
67,82,1168,2434,2308, 14:34:22 
64,53,1365,2152,2043, 14:34:24 
68,86,1305,2726,2552, 14:34:26 
96,63,1606,1747,2357, 14:34:28 
55,74,1487,2946,2629, 14:34:30 
92,57,1863,2153,2311, 14:34:32 
96,71,1915,2263,2726, 14:34:34 
95,87,1053,2393,2018, 14:34:36 
64,87,1440,2695,2515, 14:34:38 
78,54,1382,2855,2517, 14:34:40 
94,65,1620,1883,2834, 14:34:42 
83,85,1663,2316,2602, 14:34:44 
78,75,1733,2647,2397, 14:34:46 
86,66,1033,2173,2219, 14:34:48 
95,65,1240,1850,2358, 14:34:50 
72,62,1611,2002,2504, 14:34:52 
69,55,1676,1688,2562, 14:34:54 
99,73,1102,2742,2130, 14:34:56 
96,74,1292,2965,2898, 14:34:58 
77,86,1015,1904,2966, 14:35:00 
59,89,1972,2214,2394, 14:35:02 
54,67,1045,1701,2859, 14:35:04 
74,53,1536,1807,2722, 14:35:06 
68,68,1943,2840,2660, 14:35:08 
92,51,1109,1670,2958, 14:35:10 
61,70,1342,1617,2587, 14:35:12 
85,64,1928,2167,2538, 14:35:14 
91,53,1374,2252,2912, 14:35:16 
76,59,1048,1768,2989, 14:35:18 
94,61,1068,2410,2383, 14:35:20 
86,73,1089,2727,2252, 14:35:22 
54,86,1108,2215,2535, 14:35:24 
90,82,1506,1709,2117, 14:35:26 
92,53,1059,2820,2929, 14:35:28 
58,62,1309,1884,2340, 14:35:30 
85,54,1833,2424,2441, 14:35:32 
53,73,1555,2217,2985, 14:35:34 
62,84,1586,1536,2419, 14:35:36 
64,78,1809,1847,2622, 14:35:38 
64,78,1809,1847,2622, 14:35:40 
75,60,1543,2601,2334, 14:35:42 
93,80,1287,2175,2055, 14:35:44 
54,61,1331,1998,2922, 14:35:46 
99,64,1250,1961,2141, 14:35:48 
55,70,1153,2297,2862, 14:35:50 
70,57,1670,2973,2457, 14:35:52 
87,83,1899,2783,2851, 14:35:54 
70,81,1174,2624,2670, 14:35:56 
